Rk,Player,Tm,2018-19,2019-20,2020-21
145,E'Twaun Moore\mooreet01,NOP,$8808685,$8664928,
146,Kosta Koufos\koufoko01,SAC,$8739500,,
147,Jerami Grant\grantje01,OKC,$8653847,$9346153,$9346153
148,Kyle Anderson\anderky01,MEM,$8641000,$9073050,$9505100
149,Julius Randle\randlju01,NOP,$8641000,$9073050,
150,Markieff Morris\morrima02,WAS,$8600000,,
151,Jerryd Bayless\bayleje01,PHI,$8575916,,
152,Cristiano Felicio\feliccr01,CHI,$8470980,$8156500,$7529020
153,Markelle Fultz\fultzma01,PHI,$8339880,$9745200,$12288697
154,C.J. Miles\milescj01,TOR,$8333333,$8730158,
155,Joe Harris\harrijo01,BRK,$8330000,$7670000,
156,Shaun Livingston\livinsh01,GSW,$8307692,$7692308,
157,Deandre Ayton\aytonde01,PHO,$8165160,$9562920,$10018200
158,Lou Williams\willilo02,LAC,$8000000,$8000000,$1500000
159,Garrett Temple\templga01,MEM,$8000000,,
160,P.J. Tucker\tuckepj01,HOU,$7969537,$8349039,$7969537
161,Cory Joseph\josepco01,IND,$7945000,,
162,JaMychal Green\greenja01,MEM,$7866667,,
163,Karl-Anthony Towns\townska01,MIN,$7839435,,
164,Kyle Korver\korveky01,CLE,$7560000,$7500000,
165,Jeremy Lamb\lambje01,CHO,$7488372,,
166,Darrell Arthur\arthuda01,PHO,$7464912,,
167,Lonzo Ball\balllo01,LAL,$7461960,$8719320,$11003782
168,Doug McDermott\mcderdo01,IND,$7333333,$7333334,$7333333
169,Jae Crowder\crowdja01,UTA,$7305825,$7815533,
170,Marvin Bagley\baglema01,SAC,$7305600,$8556120,$8963640
171,D.J. Augustin\augusdj01,ORL,$7250000,$7250000,
172,Lance Thomas\thomala01,NYK,$7119650,$7583975,
173,D'Angelo Russell\russeda01,BRK,$7019698,,
174,Langston Galloway\gallola01,DET,$7000000,$7333333,
175,Davis Bertans\bertada01,SAS,$7000000,$7000000,
176,Ersan Ilyasova\ilyaser01,MIL,$7000000,$7000000,$7000000
177,Boban Marjanovic\marjabo01,LAC,$7000000,,
178,Al-Farouq Aminu\aminual01,POR,$6957105,,
179,Jayson Tatum\tatumja01,BOS,$6700800,$7830000,$9897120
180,Luka Doncic\doncilu01,DAL,$6560640,$7683360,$8049360
181,Nemanja Bjelica\bjeline01,SAC,$6500000,$6825000,$7150000
182,Mario Hezonja\hezonma01,NYK,$6500000,,
183,Ben Simmons\simmobe01,PHI,$6434520,$8113930,
184,Milos Teodosic\teodomi01,LAC,$6300000,,
185,Dewayne Dedmon\dedmode01,ATL,$6300000,,
186,Wayne Ellington\ellinwa01,MIA,$6270000,,
187,Marco Belinelli\belinma01,SAS,$6153846,$5846154,
188,Wesley Johnson\johnswe01,LAC,$6134520,,
189,Josh Jackson\jacksjo02,PHO,$6041520,$7059480,$8930242
190,Montrezl Harrell\harremo01,LAC,$6000000,$6000000,
191,Jonathon Simmons\simmojo02,ORL,$6000000,$5700000,
192,Ish Smith\smithis01,DET,$6000000,,
193,Jaren Jackson\jacksja02,MEM,$5915040,$6927480,$7257360
